nome,logradouro,numero,complemento,bairro,municipio,cep
Hospital das Clínicas,Av. Dr. Enéas de Carvalho Aguiar,255,,Cerqueira César,São Paulo,05403-000
Instituto do Câncer do Estado de São Paulo (ICESP),Av. Dr. Arnaldo,251,,Cerqueira César,São Paulo,01246-000
Santa Casa de Misericórdia de São Paulo,Rua Dr. Cesário Motta Júnior,112,,Vila Buarque,São Paulo,01221-020
Hospital Santa Marcelina Itaquera,Rua Santa Marcelina,177,,Itaquera,São Paulo,08270-070
Hospital Santa Marcelina Itaquaquecetuba,Rua João Vagnotti,40,,Vila Virgínia,Itaquaquecetuba,08599-000
Centro de Nefrologia Itaim Bibi,Rua Joaquim Floriano,533,,Itaim Bibi,São Paulo,04534-011
Centro de Nefrologia Central,Rua da Consolação,247,,Consolação,São Paulo,01301-000
